abandonment	abandon
preponderation	preponderate
preposition	preposition
prepossession	prepossess
presage	presage
prescription	prescribe	prescript
presentation	present
preservative	preserve
presidency	preside
presignification	presignify
pressurization	press	pressure	pressurise	pressurize
prestidigitation	prestidigitate
presumptuousness	presume
presupposition	presuppose
pretension	pretend	pretense
pretermission	pretermit
prettification	prettify
prevalence	prevail
prevarication	prevaricate
preventative	prevent
preview	preview
prevision	previse
predation	prey	predate
pricing	price
pricking	prick
prickling	prickle
pridefulness	pride
primness	prim	prime
primping	primp
printing	print
privateness	privatize
privilege	privilege
prize	prize
prizefighter	prizefight
probation	probate
probing	probe
processional	proceed	process
proclamation	proclaim
procrastination	procrastinate
procreation	procreate
proctor	proctor
procurement	procure
prodding	prod
productiveness	produce
profaneness	profane
professionalism	profess
profferment	proffer
profile	profile
profitableness	profit	profiteer
profoundness	profound
profuseness	profuse
prognostication	prognosticate
programming	program
programmer	programme
progressiveness	progress
prohibition	prohibit
projection	project
prolapse	prolapse
proliferation	proliferate
prolog	prologize
prolongation	prolong	prolongate
promenade	promenade
promisor	promise
promotion	promote
promptness	prompt
promulgation	promulgate
pronation	pronate
prong	prong
pronominalization	pronominalise	pronominalize
pronunciation	pronounce
provenance	proof	prove
proofreader	proofread
propman	prop
propagandization	propagandize
propagation	propagate
propulsion	propel	propell
propitiousness	propitiate
proportionateness	proportion	proportionate
proposer	propose
proposition	proposition
propound	propound
proration	prorate
prorogation	prorogue
proscription	proscribe
prosecution	prosecute
proselytization	proselyte	proselytise	proselytize
prospector	prospect
prosperity	prosper
prostatitis	prostate
prostitution	prostitute
prostration	prostrate
protectiveness	protect
prototype	prototype
protraction	protract
protrusion	protrude
provisioner	provide	provision
provocative	provoke
prowler	prowl
pruning	prune
prussianization	prussianise	prussianize
prying	pry
psyche	psych
psychoanalysis	psychoanalyze
psychologization	psychologize
publicization	publish	publicise	publicize
pucker	pucker
puddler	puddle
puffer	puff
pug	pug
puking	puke
pulling	pull
pullulation	pullulate
pulp	pulp
pulsation	pulse	pulsate
pulverization	pulverise	pulverize
pumps	pump
punning	pun
puncher	punch
punctuation	punctuate
puncturing	puncture
punishment	punish
punting	punt
pup	pup
pupation	pupate
purchasing	purchase
pureness	puree
purgatory	purge
purification	purify
purl	purl
purloinment	purloin
purpleness	purple
purport	purport
purposefulness	purpose
purr	purr
purser	purse
pursuance	pursue
purveyance	purvey
pushing	push
pustulation	pustulate
putting	put
putrefaction	putrefy
putterer	putt	putter
putty	putty
puzzlement	puzzle
pyramid	pyramid
quackery	quack
quadrisection	quadrisect
quadruplication	quadruple	quadruplicate
quail	quail
quakerism	quake
qualification	qualify
quantifiability	quantify
quantization	quantise	quantize
quarantine	quarantine
quarrelsomeness	quarrel
quarryman	quarry
quartering	quarter
quarterback	quarterback
quaver	quaver
queens	queen
queerness	queer
quelling	quell
quenching	quench
query	query
quest	quest
questioning	question
queue	queue
quibbler	quibble
quickening	quicken
quickstep	quickstep
quietness	quiet
quilting	quilt
quintuplication	quintuple	quintuplicate
quip	quip
quirk	quirk
quitclaim	quitclaim
quivering	quiver
quizzer	quiz	quizzes
quotation	quote
rabbet	rabbet
rabbit	rabbit
racist	race
rack	rack
racketeering	racket	racketeer
radiation	radiate
radio	radio
radioactivation	radioactivate
raffle	raffle
raftman	raft	rafter
rag	rag
ragee	rage
raider	raid
railing	rail
railroader	railroad
raiment	raiment
rain	rain
raising	raise
rake	rake
rallying	rally
ramman	ram
rambler	ramble
ramification	ramify
ramp	ramp
rampage	rampage
ranching	ranch
randomization	randomise	randomize
ranger	range
rankness	rank
ransacking	ransack
ransom	ransom
ranting	rant
rap	rap
rapist	rape
rapture	rapture
rarefication	rarefy
rasping	rasp
ratting	rat
ratchet	ratchet
rating	rate
ratification	ratify
ratiocination	ratiocinate
rationalization	ration	rationalise	rationalize
rattling	rattle
ravagement	ravage
raving	rave
ravelling	ravel
ravenousness	raven
ravishment	ravish
ray	ray
razing	raze	razor
razzing	razz
re-afforestation	re-afforest
re-creation	re-create
re-exportation	re-export
reaching	reach
reactionism	react
reactivation	reactivate
reading	read
readjustment	readjust
readiness	ready
reafforestation	reafforest
realization	realise	realize
reallocation	reallocate
ream	ream
reaper	reap
reappearance	reappear
reapportioning	reapportion
rearing	rear
rearmament	rearm
rearrangement	rearrange
reasonableness	reason
reassembly	reassemble
reassessment	reassess
reassignment	reassign
reassurance	reassure
rebate	rebate
rebellion	rebel
rebound	rebound
rebuff	rebuff
rebuilding	rebuild
rebuke	rebuke
rebutter	rebut
recall	recall
recantation	recant
recapitulation	recap	recapitulate
recapitalization	recapitalize
recapture	recapture
recasting	recast
recce	recce
recessional	recede	recess
receptiveness	receipt	receive
recidivism	recidivate
reciprocation	reciprocate
recitative	recite
reckoning	reckon
reclamation	reclaim
reclination	recline
recognizance	recognise	recognize
recoil	recoil
recollection	recollect
recombinant	recombine
recommendation	recommend
recommitment	recommit
recompence	recompence
recompensation	recompense
recomposition	recompose
reconciliation	reconcile
reconditeness	recondition
reconnoitering	reconnoiter	reconnoitre
reconsideration	reconsider
reconstitution	reconstitute
reconstruction	reconstruct
reconversion	reconvert
recordation	record
recounting	recount
recoupment	recoup
recoverer	recover
recreation	recreate
recrimination	recriminate
recrudescence	recrudesce
recruitment	recruit
recrystallization	recrystallise	recrystallize
rectification	rectify
recuperation	recuperate
recurrence	recur	recurse
recusation	recuse
recycling	recycle
redaction	redact
rededication	rededicate
redemption	redeem
redeliverance	redeliver
redeployment	redeploy
redevelopment	redevelop
redintegration	redintegrate
redirection	redirect
redistribution	redistribute
redouble	redouble
redress	redress
reduction	reduce
reduplication	reduplicate
reeducation	reeducate
reefer	reef
reek	reek
reel	reel
reelection	reelect
reenforcement	reenforce
reevaluation	reevaluate
reeve	reeve
reexamination	reexamine
refectory	refect
reference	refer	reference
refereeing	referee
refilling	refill
refinement	refine	refinance
refinisher	refinish
refitment	refit
reflation	reflate
reflectivity	reflect
reflexiveness	reflex
reflux	reflux
reforestation	reforest
reformatory	reform
refractiveness	refract
refrainment	refrain
refreshment	refresh
refrigeration	refrigerate
refueling	refuel
refuge	refuge
refund	refund
refurbishment	refurbish
refusal	refuse
refutation	refute
regaining	regain
regalement	regale
regards	regard
regelation	regelate
regeneration	regenerate
regimentation	regiment
region	regionalize
registration	register	registrate
regression	regress
regrets	regret
regularization	regularise	regularize
regulating	regulate
regurgitation	regurgitate
rehabilitation	rehabilitate
rehash	rehash
rehearing	rehear
rehearsal	rehearse
reification	reify
reign	reign
reillumination	reilluminate
reimbursement	reimburse
reimportation	reimport
reins	rein
reincarnation	reincarnate
reinforcement	reinforce
reinstatement	reinstate
reinsurance	reinsure
reinterpretation	reinterpret
reinvestment	reinvest
reissue	reissue
reiteration	reiterate
rejection	reject
rejoicing	rejoice
rejuvenation	rejuvenate	rejuvenesce
relapsing	relapse
relativity	relate
relativism	relativize
relaxation	relax
relays	relay
release	release
relegation	relegate
relentlessness	relent
reliever	relieve
relinquishment	relinquish
relishing	relish
reliving	relive
relocation	relocate
reluctivity	reluct
relumination	relumine
reliance	rely	relie
remanence	remain	remainder
remaking	remake
remandment	remand
remark	remark
rematch	rematch
remediation	remedy
remembrance	remember
remilitarization	remilitarize
reminder	remind
reminiscence	reminisce
remittence	remit
remonetization	remonetise	remonetize
remonstration	remonstrate
remount	remount
remover	remove
remuneration	remunerate
rencounter	rencounter
renting	rend	rent
rendition	render
rendezvous	rendezvous
renegade	renegade
renege	renege
renegotiation	renegotiate
renewal	renew	renewal
renunciation	renounce	renunciate
renovation	renovate
renown	renown
reordering	reorder
reorganization	reorganize
reorientation	reorient	reorientate
reparation	repair
repartition	repartition
repast	repast
repatriation	repatriate
repayment	repay
repeal	repeal
repetitiousness	repeat	repetition
repulsiveness	repel	repulse
repentance	repent
rephrasing	rephrase
replaceability	replace
replay	replay
replenishment	replenish
repletion	replete
replication	replicate
reply	reply
reporting	report
reposal	repose
repositioning	reposit	reposition
repossession	repossess
reprehensibility	reprehend
representative	represent
repression	repress
reprievement	reprieve
reprimand	reprimand
reprinting	reprint
reprisal	reprise
reproachment	reproach
reprobation	reprobate
reproducibility	reproduce
reproof	reproof
reproval	reprove
republication	republish
republicanization	republicanise	republicanize
repudiation	repudiate
repugnancy	repugn
reputability	repute
request	request
requisiteness	require	requisition
requitement	requite
rerun	rerun
rescindment	rescind
rescuer	rescue
researcher	research
resection	resect
resemblance	resemble
resentment	resent
reservation	reserve
reset	reset
resettlement	resettle
reshuffling	reshuffle
residency	reside
resignation	resign
resiliency	resile
resination	resin	resinate
resistivity	resist
resoluteness	resolve
resonation	resonate
resorption	resorb
resort	resort
respectfulness	respect
respiration	respire	respirate
respite	respite
responsibleness	respond
restfulness	rest
restatement	restate
restitution	restitute
restorative	restore
restraint	restrain
restrictiveness	restrict
resultant	result
resumption	resume
resurgence	resurge
resurrection	resurrect
resuscitation	resuscitate
retailing	retail
retentiveness	retain
retaking	retake
retaliation	retaliate
retardation	retard
rethink	rethink
reticulation	reticulate
retirement	retire
retortion	retort
retracement	retrace
retraction	retract
retread	retread
retreatant	retreat
retrenchment	retrench
retriever	retrieve
retroaction	retroact
retrocession	retrocede
retrogradation	retrograde
retrogression	retrogress
retrospective	retrospect
return	return
reunification	reunify
reunion	reunite
rev	rev
revalorization	revalorise	revalorize
revaluation	revalue	revaluate
revamping	revamp
revegetation	revegetate
revelation	revel	reveal
revenge	revenge
reverberation	reverberate
reverence	revere	reverence
reversibility	revert	reverse
revetement	revet
reviewer	review
revilement	revile
revision	revise
revitalization	revitalise	revitalize
revivalism	revive
revivification	revivify
revocability	revoke
revolutionary	revolt	revolve
revolutionization	revolutionize
reward	reward
rewind	rewind
rewording	reword
rewriting	rewrite
rhapsodization	rhapsodise	rhapsodize
rhumba	rhumba
rhyme	rhyme
ribbing	rib
rick	rick
rickshaw	rickshaw
ricochet	ricochet
riddance	rid
riddle	riddle
riding	ride
ridge	ridge
ridiculousness	ridicule
riff	riff
riffle	riffle
rifleman	rifle
rigorousness	rig
rightfulness	right
rigidification	rigidify
rim	rim
rime	rime
rind	rind
ringing	ring
rinsing	rinse
rioting	riot
rip	rip
ripening	ripen
riposte	riposte
rippling	ripple
rising	rise
risking	risk
rissole	rissole
ritualization	ritualize
rivalry	rival
river	rive
riveter	rivet
roamer	roam
roaring	roar
roasting	roast
robbery	rob
robe	robe
rocker	rock
rocketry	rocket
roentgenization	roentgenise	roentgenize
roisterer	roister
roleplaying	roleplay
rolling	roll
romanization	romanise	romanize
romantic	romance
romanticization	romanticise	romanticize
romper	romp
roneo	roneo
roofing	roof
rook	rook
roomful	room
rooster	roost
rooting	root
roping	rope
roquet	roquet
rosin	rosin
rottenness	rot
rotation	rotate
rouge	rouge
roughness	rough
roughcast	roughcast
roundness	round
rousing	rouse
route	rout	route
routinization	routinize
roving	rove
rowing	row
rubbing	rub
rubberization	rubber	rubberize
rubberneck	rubberneck
rubbish	rubbish
rubification	rubefy
rubrication	rubric	rubricate
ruck	ruck
ruddles	ruddle
rue	rue
ruff	ruff
ruffle	ruffle
ruggedization	ruggedize
ruination	ruin	ruinate
ruling	rule
rumba	rumba
rumbling	rumble
rumination	ruminate
rummage	rummage
rumor	rumor
rumour	rumour
rumpus	rumpus
runniness	run
rupture	rupture
ruralization	ruralise	ruralize
rushing	rush
russianization	russianise	russianize
rusting	rust
rustication	rusticate
rustling	rustle
rut	rut
saber	saber
sabotage	sabotage
sabre	sabre
saccharification	saccharify
sacking	sack
sacrifice	sacrifice
sadness	sad
saddler	saddle
safari	safari
safeguard	safeguard
sag	sag
sailing	sail
sailplaning	sailplane
saint	saint
salaam	salaam
salability	sell
salification	salify
salinity	salinate
salivation	salivate
sallowness	sallow
sally	sally
salting	salt
salutation	salute
salvager	salvage
salvation	salve
samba	samba
sampling	sample
sanctification	sanctify
sanction	sanction
sand-casting	sand-cast
sander	sand
sandbag	sandbag
sandblaster	sandblast
sandpaper	sandpaper
sandwichman	sandwich
sanitization	sanitate	sanitise	sanitize
sap	sap
saponification	saponify
sashay	sashay
sassing	sass
satellite	satellite
satiation	satiate
satirization	satirise	satirize
satisfaction	satisfy
saturation	saturate
saucer	sauce
saunterer	saunter
sauteing	saute
savageness	savage
savoring	save	savor
savour	savour
savvy	savvy
sawyer	saw
saying	say
scab	scab
scald	scald
scaling	scale
scallop	scallop
scalp	scalp
scamp	scamp
scamper	scamper
scanning	scan
scandalousness	scandalise	scandalize
scantness	scant
scar	scar
scare	scare
scarf	scarf
scarification	scarify
scarp	scarp
scarper	scarper
scat	scat
scathe	scathe
scattering	scatter
scavenger	scavenge
scend	scend
scent	scent
scepter	scepter
scheduling	schedule
schematization	schematize	schematise
schemer	scheme
schmooze	schmooze
schoolman	school
scintillation	scintillate
scissors	scissor
scoffer	scoff
scolding	scold
scollop	scollop
sconce	sconce
scooping	scoop
scooter	scoot
scorcher	scorch
scores	score
scorification	scorify
scorn	scorn
scotchman	scotch
scouring	scour
scourge	scourge
scouting	scout
scowl	scowl
scrabble	scrabble
scrag	scrag
scrambler	scramble
scraping	scrap	scrape
scratching	scratch
scrawl	scrawl
screaming	scream
screeching	screech
screening	screen
screwing	screw
scribbler	scribble
scriber	scribe
scrimmage	scrimmage
scrimshanker	scrimshank
script	script
scroll	scroll
scrounger	scrounge
scrubbing	scrub
scrummage	scrummage
scrunch	scrunch
scrupulousness	scruple
scrutineer	scrutinise	scrutinize
scudding	scud
scuffs	scuff
scuffle	scuffle
scullion	scull
sculpturer	sculpt	sculpture
scupper	scupper
scurry	scurry
scuttle	scuttle
scythe	scythe
sealing	seal
seamstress	seam
seaplane	seaplane
searching	search
seasonableness	season
seating	seat
secession	secede
secernment	secern	secernate
seclusion	seclude
secondment	second
secretiveness	secrete
sectionalization	section	sectionalise	sectionalize
secularization	secularise	secularize
secureness	secure
sedateness	sedate
sedimentation	sediment
seduction	seduce
sighting	see	sight
seedman	seed
seeking	seek
seepage	seep
seesaw	seesaw
seethe	seethe
segmentation	segment
segregation	segregate
seine	seine
seizure	seise	seize
selectivity	select
semaphore	semaphore
sending	send
sensitization	sense	sensitise	sensitize
sensualization	sensualize
sentence	sentence
sentimentalization	sentimentalise	sentimentalize
separateness	separate
sequence	sequence
sequestration	sequester	sequestrate
sequin	sequin
serenade	serenade
serialization	serialise	serialize
seriation	seriate
sermonization	sermonize
serration	serrate
serviceableness	serve	service
setting	set
settlement	settle
severeness	sever	severalize
sewerage	sew
sexist	sex
sextuplication	sextuplicate
shack	shack
shackle	shackle
shadiness	shade
shadow-boxing	shadow-box
shadowing	shadow
shadowboxing	shadowbox
shaft	shaft
shagging	shag
shakiness	shake
shallowness	shallow
sham	sham
shamanism	shamanize
shambling	shamble
shamefulness	shame
shampoo	shampoo
shanghaier	shanghai
shank	shank
shaping	shape
sharing	share
shark	shark
sharpener	sharpen
sharpshooter	sharpshoot
shattering	shatter
shaving	shave
shawl	shawl
shearing	shear
sheathing	sheathe
shedding	shed
sheeting	sheet
shelving	shelve
shelling	shell
shellac	shellac
shelter	shelter
shepherd	shepherd
sherardization	sherardise	sherardize
shielding	shield
shifting	shift
shilling	shill
shillyshally	shillyshally
shimmer	shimmer
shimmy	shimmy
shin	shin
shininess	shine
shingling	shingle
shipping	ship
shipwreck	shipwreck
shirking	shirk
shirting	shirt
shitting	shit
shivering	shiver
shocker	shock
shoes	shoe	shoal
shoehorn	shoehorn
shopping	shop
shoplifting	shoplift
shoring	shore
shortness	short
shortening	shorten
shooting	shoot
shoulder	shoulder
shouting	shout
shove	shove
shovelful	shovel
showiness	show
shower	shower
shred	shred
shrieking	shriek
shrift	shrive
shrillness	shrill
shrimp	shrimp
shrine	shrine
shrinking	shrink
shroud	shroud
shrug	shrug
shucks	shuck
shudder	shudder
shuffling	shuffle
shunning	shun
shunter	shunt
shutting	shut
shutter	shutter
shuttle	shuttle
shuttlecock	shuttlecock
shyness	shy
sibilation	sibilate
sickness	sick
siding	side
sideslip	sideslip
sidestep	sidestep
sidetrack	sidetrack
sidle	sidle
siege	siege
sieve	sieve
sifting	sift
sigh	sigh
sightseeing	sightsee
signalization	sign	signal	signalize
signification	signify
signpost	signpost
silencer	silence
silhouette	silhouette
silicification	silicify
silt	silt
silver	silver
simmering	simmer
simper	simper
simplification	simplify
simulation	simulate
simulcast	simulcast
sinfulness	sin
singing	sing	singe
single-foot	single-foot
singleness	single
singsong	singsong
singularization	singularise	singularize
sinking	sink
sinter	sinter
sinuation	sinuate
sipping	sip
siphon	siphon
sire	sire
sitting	sit
site	site
situation	situate
sizing	size
skating	skate
skateboarding	skateboard
skeletonization	skeletonise	skeletonize
sketcher	sketch
skewness	skew
skewer	skewer
skiing	ski
skid	skid
skimming	skim
skinful	skin
skip	skip
skipper	skipper
skirl	skirl
skirmisher	skirmish
skirt	skirt
skittles	skittle
skivvies	skivvy
skulking	skulk
skunk	skunk
sky	sky
skylark	skylark
skyrocket	skyrocket
slackness	slack
slackening	slacken
slalom	slalom
slam	slam
slanderer	slander
slang	slang
slant	slant
slap	slap
slashing	slash
slat	slat
slating	slate
slaughterer	slaughter
slavery	slave
slaver	slaver
slaying	slay
sledding	sled
sledge	sledge
sledgehammer	sledgehammer
sleekness	sleek
sleeping	sleep
sleepwalking	sleepwalk
sleet	sleet
sleigh	sleigh
slenderization	slenderize
slews	slew
slicing	slice
slickness	slick
slider	slide
slightness	slight
slimness	slim
sliminess	slime
slinging	sling
slipperiness	slip
slipcover	slipcover
slit	slit
sliver	sliver
slobber	slobber
sloganeering	sloganeer
slops	slop
slope	slope
slot	slot
slouch	slouch
sloughing	slough
slowness	slow
slug	slug
sluice	sluice
slum	slum
slumberer	slumber
slump	slump
slur	slur
slurp	slurp
slush	slush
smacking	smack
smartness	smart
smashing	smash
smattering	smatter
smear	smear
smelling	smell
smelter	smelt
smiling	smile
smirch	smirch
smirk	smirk
smoking	smoke
smolder	smolder
smooching	smooch
smoothness	smooth
smother	smother
smoulder	smoulder
smudge	smudge
smuggling	smuggle
smut	smut
snack	snack
snaffle	snaffle
snafu	snafu
snag	snag
snail	snail
snake	snake
snap	snap
snare	snare
snarl	snarl
snatcher	snatch
sneakiness	sneak
sneering	sneer
sneezing	sneeze
snick	snick
snicker	snicker
sniff	sniff
sniffle	sniffle
snigger	snigger
snipping	snip
sniper	snipe
snitch	snitch
sniveling	snivel
snogging	snog
snooker	snooker
snoopiness	snoop
snooze	snooze
snoring	snore
snorkeling	snorkel
snorting	snort
snowman	snow
snowball	snowball
snowmobile	snowmobile
snub	snub
snuffers	snuff
snuffle	snuffle
snuggling	snuggle
soaking	soak
soap	soap
soaring	soar
sobbing	sob
soberness	sober
socialization	socialise	socialize
sock	sock
sod	sod
sodom	sodomize
softening	soften
soiling	soil
sojourner	sojourn
solacement	solace
solarization	solarise	solarize
soldering	solder
soldiership	soldier
sole	sole
solemnization	solemnise	solemnize
solemnification	solemnify
solicitousness	solicit
solidification	solidify
soliloquization	soliloquize
solmization	solmizate
soloist	solo
solubilization	solubilize
solvation	solve	solvate
somersaulting	somersault
somnambulation	somnambulate
sonneteer	sonnet
soot	soot
sooth	soothe
soothsaying	soothsay
sops	sop
sophistication	sophisticate
sorption	sorb
sorceress	sorcerize
sorrowfulness	sorrow
sorting	sort
soundness	sound
soup	soup
sourness	sour
sousing	souse
sovietization	sovietise	sovietize
sower	sow
spatiality	space
spadeful	spade
span	span
spangle	spangle
spanking	spank
sparring	spar
spareness	spare
spark	spark
sparkling	sparkle
spats	spat
spatchcock	spatchcock
spattering	spatter
spawn	spawn
spaying	spay
speaking	speak
spear	spear
spearhead	spearhead
specialization	specialise	specialize
specification	specify
speck	speck
speckle	speckle
spectator	spectate
speculativeness	speculate
speechification	speechify
speeding	speed
spelling	spell
spellbinder	spellbind
spelunker	spelunk
spending	spend
sphacele	sphacelate
spiciness	spice
spiel	spiel
spike	spike
spillage	spill
spinning	spin
spindle	spindle
spiral	spiral
spiritualization	spirit	spiritize	spiritualize	spiritualise
spirt	spirt
spitting	spit
spitefulness	spite
splashing	splash
splat	splat
splattering	splatter
splay	splay
splicing	splice
splint	splint
splintering	splinter
split-up	split-up
split	split
splotch	splotch
splurge	splurge
splutter	splutter
spoilation	spoil
spoliation	spoliate
sponge-down	sponge-down
sponginess	sponge
sponsorship	sponsor
spoof	spoof
spook	spook
spool	spool
spoonful	spoon
sports	sport
sportscaster	sportscast
sporulation	sporulate
spotting	spot
spotlight	spotlight
spousal	spouse
spout	spout
sprain	sprain
sprawling	sprawl
spraying	spray
spreading	spread
spree	spree
spring-cleaning	spring-clean
springer	spring
sprinkling	sprinkle
sprinter	sprint
sprouting	sprout
spruceness	spruce
spud	spud
spume	spume
spurring	spur
spurt	spurt
sputtering	sputter
spying	spy
squabble	squabble
squall	squall
squandering	squander
squareness	square
squash	squash
squatting	squat
squawker	squawk
squeaker	squeak
squealer	squeal
squeegee	squeegee
squeezer	squeeze
squelch	squelch
squinch	squinch
squint	squint
squire	squire
squirm	squirm
squirrel	squirrel
squirt	squirt
stab	stab
stabilization	stable	stabilise	stabilize
stablishment	stablish
stacks	stack
staffer	staff
stag	stag
staging	stage
staggerer	stagger
stagnation	stagnate
staining	stain
staking	stake
staleness	stale
stalemate	stalemate
stalking	stalk
stallion	stall
stammerer	stammer
stamp	stamp
stampede	stampede
stanchion	stanch
stationer	stand	station
standardization	standardise	standardize
standoff	standoff
stapler	staple
star	star
starboard	starboard
starch	starch
stare	stare
stargazing	stargaze
starting	start
startle	startle
starvation	starve
stash	stash
statement	state
staunchness	staunch
stave	stave
stayman	stay
steadiness	steady
stealing	steal
steamship	steam
steamroller	steamroller
steelman	steel
steepness	steep
steeplechasing	steeplechase
steering	steer
stellification	stellify
stem	stem
stencil	stencil
steps	step
stereotype	stereotype
sterilization	sterilise	sterilize
stewing	stew
stewardship	steward
stickiness	stick
stiffening	stiffen
stifling	stifle
stigmatization	stigmatise	stigmatize
stillness	still
stimulation	stimulate
stinging	sting
stinker	stink
stint	stint
stipulation	stipulate
stirring	stir
stitching	stitch
stocking	stock
stockade	stockade
stockpiling	stockpile
stoker	stoke
stomacher	stomach
stomp	stomp
stone	stone
stonewalling	stonewall
stooge	stooge
stool	stool
stoop	stoop
stopping	stop
stopper	stopper
storing	store
storm	storm
stowing	stow
straddle	straddle
straggler	straggle
straining	strain
strand	strand
strangulation	strangle	strangulate
strap	strap
stratification	stratify
straw	straw
stray	stray
streaker	streak
streaming	stream
streamliner	streamline
streetwalker	streetwalk
stress	stress
stretching	stretch
strewing	strew
striation	striate
stridency	stride
stridulation	stridulate
striving	strive
striking	strike
stringer	string
stripping	strip
striping	stripe
stroking	stroke
stroller	stroll
strengthening	strengthen
strop	strop
struggle	struggle
strum	strum
strut	strut
stub	stub
stucco	stucco
student	stud
studying	study
stuffing	stuff
stultification	stultify
stumble	stumble
stumping	stump
stunting	stunt
stupefaction	stupefy	stupify
stuttering	stutter
stylization	style	stylise	stylize
stymie	stymy	stymie
subbing	sub
subcontractor	subcontract
subdivision	subdivide
subduction	subduct
subdual	subdue
subeditor	subedit
suberization	suberise	suberize
subinfeudation	subinfeudate
subirrigation	subirrigate
subjectiveness	subject
subjectification	subjectify
subjunctive	subjoin
subjugation	subjugate
sublease	sublease
sublet	sublet
sublimination	sublime	sublimate
submersible	submerge	submerse
subminiaturization	subminiaturise	subminiaturize
submissiveness	submit
subordinateness	subordinate
subornation	suborn
subpoena	subpoena
subrogation	subrogate
subscription	subscribe
subservientness	subserve
subsidization	subside	subsidize	subsidise
subsistence	subsist
substantialness	substantiate
substantivization	substantivise	substantivize
substitutability	substitute
subsumption	subsume
subtension	subtend
subtilization	subtilise	subtilize
subtitle	subtitle
subtraction	subtract
subvention	subvene
subversiveness	subvert
successiveness	succeed
succor	succor
succour	succour
succussion	succuss
suction	suck	suction
suckling	suckle
sudan	sudanize
suds	suds
suiting	sue	suit
suede	suede
sufferance	suffer
sufficiency	suffice
suffixation	suffix
sufflation	sufflate
suffocation	suffocate
suffumigation	suffumigate
suffusion	suffuse
sugar	sugar
suggestibility	suggest
sulfation	sulfate
sulphonation	sulfonate	sulphonate
sulfurization	sulfurize
sulk	sulk
sulphation	sulphate
sulphurization	sulphur	sulphurise	sulphurize	sulphurate
summation	sum	summate
summarization	summarise	summarize
summer	summer	summerize
summoning	summon	summons
sun	sun
sunbather	sunbathe
sunburn	sunburn
sunday	sunday
sunderance	sunder
suntan	suntan
supping	sup
superaddition	superadd
superannuation	superannuate
supercharger	supercharge
supererogation	supererogate
superfusion	superfuse
superimposition	superimpose
superinducement	superinduce
superintendence	superintend
superposition	superpose
superscription	superscribe
supersession	supersede
supervenience	supervene
supervision	supervise
supination	supinate
supplantation	supplant
supplementation	supplement
supplication	supplicate
supplying	supply
supporting	support
supposition	suppose
suppression	suppress
suppuration	suppurate
surcession	surcease
surcharge	surcharge
surfing	surf
surfacing	surface
surfeit	surfeit
surge	surge
surmise	surmise
surname	surname
surpass	surpass
surprising	surprise
surrender	surrender
surrogation	surrogate
surroundings	surround
surtax	surtax
surveillance	surveil
surveying	survey
survivor	survive
suspicion	suspect
suspenders	suspend
suspiration	suspire
sustainability	sustain
susurration	susurrate
suturing	suture
swabbing	swab
swag	swag
swaggerer	swagger
deglutition	swallow
swamp	swamp
swan	swan
swank	swank
swap	swap
swarm	swarm
swash	swash
swashbuckling	swashbuckle
swat	swat
swathing	swathe
swatter	swatter
sway	sway
swearing	swear
sweating	sweat
sweeping	sweep
sweet-talk	sweet-talk
sweetening	sweeten
swelling	swell
swerving	swerve
swig	swig
swilling	swill
swimming	swim
swindler	swindle
swinging	swing	swinge
swink	swink
swipe	swipe
swirl	swirl
swish	swish
switchman	switch
swivel	swivel
swob	swob
swoon	swoon
swoop	swoop
swop	swop
swot	swot
syllabification	syllabify	syllabize	syllabicate	syllabification
syllogization	syllogise	syllogize
symbolization	symbolise	symbolize
symmetrization	symmetrize	symmetrise
sympathizer	sympathise	sympathize
symphony	symphonize
synchronization	synchronise	synchronize
syncopation	syncopate
syncretization	syncretise	syncretize
syndication	syndicate
synonymousness	synonymise	synonymize
synopsization	synopsise	synopsize
synthetization	synthesise	synthesize
syphering	sypher
syphon	syphon
syringe	syringe
systematization	systemize	systematize
tableful	table	tabularize
taboo	taboo
tabulation	tabulate
tacking	tack
tackling	tackle
tag	tag
tailing	tail
tailgate	tailgate
tailoring	tailor
taint	taint
takings	take
talc	talc
talkativeness	talk
tallyman	tally
tameness	tame
tampering	tamp	tamper
tannage	tan
tanglement	tangle
tango	tango
tankful	tank
tantalization	tantalise	tantalize
tapping	tap
taping	tape
tapering	taper
tar	tar
target	target
tariff	tariff
tarmac	tarmac
tarnish	tarnish
tarriance	tarry
tartarization	tartarise	tartarize
task	task
tassel	tassel
tastefulness	taste
tatting	tat	tatt
tatter	tatter
tattler	tattle
tattoo	tattoo
taunting	taunt
taxation	tax
taximan	taxi
te-hee	te-hee
teaching	teach
team	team
tearfulness	tear
teasing	tease
tee	tee
telecasting	telecast
telecommunication	telecommunicate
telegraphist	telegraph
telephonist	telephone
telescope	telescope
television	televise
telex	telex
telling	tell
temperateness	temper
temporization	temporise	temporize
temptation	tempt
tenancy	tenant
tendentiousness	tend
tenderization	tender	tenderise	tenderize
tenseness	tense
tenting	tent
tenure	tenure
tepefaction	tepefy
tergiversation	tergiversate
termite	term
termination	terminate
terrace	terrace
territorialization	territorialise	territorialize
terrorization	terrify	terrorise	terrorize
tessellation	tesselate	tessellate
testing	test
testification	testify
tetanization	tetanise	tetanize
tether	tether
teutonization	teutonise	teutonize
texture	texture
thankfulness	thank
thatcher	thatch
thawing	thaw
theologization	theologise	theologize
theorisation	theorise	theorize
thermostatics	thermostat
thickening	thicken
thieving	thieve
thinning	thin
